Department,SaleDate,Amount,Quantity,ItemCode,ItemDescription,Salesperson
Clothing,2022-01-13,119.83,9,H008,Microwave,David
Electronics,2021-09-20,146.38,5,J010,Board Game,David
Electronics,2021-03-16,729.66,4,G007,Jeans,Daniel
Books,2021-08-23,336.02,3,C003,Refrigerator,John
Clothing,2023-05-28,425.67,8,I009,Cookbook,Olivia
Clothing,2022-06-14,703.2,5,E005,Action Figure,Michael
Home Appliances,2021-07-11,396.96,6,N014,Art Book,Jane
Electronics,2021-07-05,745.62,2,F006,Laptop,Emily
Books,2022-11-15,150.49,6,G007,Jeans,Daniel
Clothing,2021-11-01,975.52,1,L012,Dress,John
Home Appliances,2022-06-01,808.82,7,K011,Headphones,Emily
Books,2021-05-07,832.68,9,G007,Jeans,Andrew
Home Appliances,2022-09-29,189.54,8,L012,Dress,Alex
Electronics,2022-09-07,205.99,6,D004,Novel,Olivia
Books,2020-07-10,851.53,7,J010,Board Game,Andrew
Toys,2022-11-11,251.92,5,E005,Action Figure,Alex
Home Appliances,2020-11-15,463.0,8,O015,Puzzle,Michael
Books,2023-01-22,952.47,9,I009,Cookbook,John
Toys,2021-01-17,877.58,2,G007,Jeans,Emily
Electronics,2022-12-06,285.97,4,K011,Headphones,David
Toys,2023-03-04,528.28,8,O015,Puzzle,David
Home Appliances,2020-09-25,757.35,6,D004,Novel,Sarah
Electronics,2023-04-07,812.08,3,H008,Microwave,Olivia
Toys,2021-01-13,974.98,2,D004,Novel,David
Electronics,2020-10-08,991.29,9,O015,Puzzle,Alex
Toys,2021-06-25,945.93,5,O015,Puzzle,Jane
Toys,2022-04-29,654.83,6,G007,Jeans,John
Electronics,2023-03-07,241.82,6,E005,Action Figure,Andrew
Clothing,2021-09-21,771.82,8,D004,Novel,Michael
Books,2022-09-06,371.01,9,O015,Puzzle,David
Toys,2020-12-10,792.43,8,C003,Refrigerator,Olivia
Home Appliances,2022-03-13,976.67,3,B002,T-shirt,John
Books,2020-07-24,905.74,9,J010,Board Game,Michael
Toys,2022-08-21,265.44,8,C003,Refrigerator,Sarah
Toys,2020-12-20,558.8,2,F006,Laptop,Emily
Books,2020-12-12,932.39,4,N014,Art Book,Emily
Toys,2022-09-26,561.76,6,I009,Cookbook,Emily
Electronics,2022-02-03,591.77,2,G007,Jeans,Daniel
Home Appliances,2020-07-06,219.66,7,I009,Cookbook,David
Toys,2023-01-29,745.11,2,H008,Microwave,David
Electronics,2022-02-15,132.08,3,E005,Action Figure,Emily
Books,2022-01-21,924.25,9,O015,Puzzle,Andrew
Home Appliances,2022-10-25,610.7,3,B002,T-shirt,Michael
Home Appliances,2020-11-05,423.0,1,D004,Novel,Emily
Toys,2022-08-20,224.67,8,K011,Headphones,David
Electronics,2021-04-18,494.18,4,J010,Board Game,David
Books,2022-12-24,399.98,6,I009,Cookbook,David
Books,2020-07-29,177.84,3,B002,T-shirt,Jane
Home Appliances,2022-10-12,855.98,3,E005,Action Figure,Sarah
Clothing,2021-06-30,107.91,9,F006,Laptop,Olivia
Home Appliances,2021-06-12,339.72,4,J010,Board Game,Alex
Electronics,2021-05-26,346.62,6,I009,Cookbook,Emily
Clothing,2022-06-30,710.89,5,M013,Vacuum Cleaner,Daniel
Electronics,2021-01-02,286.04,10,C003,Refrigerator,Emily
Home Appliances,2020-12-19,771.24,9,E005,Action Figure,John
Home Appliances,2021-08-19,906.38,5,K011,Headphones,Jane
Home Appliances,2020-07-25,822.92,9,H008,Microwave,Emily
Clothing,2022-06-17,316.64,1,C003,Refrigerator,David
Toys,2020-12-03,220.9,6,I009,Cookbook,Andrew
Home Appliances,2020-07-15,290.01,1,M013,Vacuum Cleaner,David
Books,2022-03-21,517.7,6,I009,Cookbook,Andrew
Clothing,2021-03-15,666.09,9,I009,Cookbook,Jane
Home Appliances,2020-10-02,957.32,9,O015,Puzzle,Alex
Toys,2021-09-09,552.74,9,N014,Art Book,David
Books,2023-04-13,349.55,2,J010,Board Game,Jane
Toys,2022-05-16,195.66,2,N014,Art Book,David
Books,2023-05-24,474.8,10,C003,Refrigerator,Jane
Electronics,2022-12-29,113.22,2,K011,Headphones,Alex
Books,2021-04-08,272.14,10,M013,Vacuum Cleaner,John
Electronics,2020-06-30,396.12,6,L012,Dress,David
Books,2021-10-04,262.72,9,J010,Board Game,Olivia
Clothing,2023-05-14,805.19,4,I009,Cookbook,Sarah
Home Appliances,2021-11-25,878.89,1,B002,T-shirt,Sarah
Electronics,2021-06-13,766.31,6,E005,Action Figure,Olivia
Clothing,2021-09-19,698.68,7,K011,Headphones,Michael
Electronics,2023-02-28,584.6,1,N014,Art Book,Jane
Books,2021-09-16,996.62,10,K011,Headphones,Andrew
Home Appliances,2021-01-21,738.29,8,N014,Art Book,Jane
Home Appliances,2023-01-01,507.17,8,J010,Board Game,Olivia
Home Appliances,2021-01-02,349.52,6,G007,Jeans,Daniel
Electronics,2022-07-29,213.17,10,L012,Dress,Alex
Clothing,2020-12-20,260.94,2,A001,Smartphone,John
Electronics,2022-11-11,124.31,8,O015,Puzzle,Jane
Home Appliances,2020-09-01,838.61,6,N014,Art Book,Sarah
Toys,2021-08-02,544.99,1,C003,Refrigerator,Michael
Toys,2022-02-16,864.87,8,A001,Smartphone,Emily
Home Appliances,2022-02-23,275.96,1,E005,Action Figure,Daniel
Toys,2022-08-05,796.4,4,K011,Headphones,Michael
Home Appliances,2021-05-18,301.97,4,B002,T-shirt,John
Books,2021-02-14,983.42,5,G007,Jeans,Emily
Home Appliances,2021-11-03,726.43,8,B002,T-shirt,Jane
Clothing,2023-02-23,200.83,8,M013,Vacuum Cleaner,Alex
Home Appliances,2023-01-26,657.53,3,G007,Jeans,Sarah
Electronics,2022-05-15,561.04,8,D004,Novel,Michael
Home Appliances,2021-07-30,154.59,6,I009,Cookbook,Daniel
Toys,2021-01-26,261.42,5,C003,Refrigerator,Daniel
Home Appliances,2022-08-31,518.77,2,E005,Action Figure,Sarah
Toys,2021-12-31,529.19,6,B002,T-shirt,Olivia
Electronics,2021-12-26,944.49,3,O015,Puzzle,Olivia
Home Appliances,2021-04-27,630.57,4,G007,Jeans,Andrew
Electronics,2022-09-04,973.76,3,F006,Laptop,Michael
Books,2021-12-06,276.82,1,J010,Board Game,Emily
Books,2021-10-21,748.72,8,K011,Headphones,Jane
Electronics,2021-09-09,809.43,7,H008,Microwave,Daniel
Books,2021-01-10,947.18,3,E005,Action Figure,Andrew
Clothing,2022-11-02,108.64,3,K011,Headphones,John
Home Appliances,2021-06-19,609.15,8,F006,Laptop,John
Toys,2021-10-19,795.45,3,J010,Board Game,Sarah
Home Appliances,2020-05-29,761.72,3,G007,Jeans,Sarah
Electronics,2022-02-28,227.55,2,M013,Vacuum Cleaner,Daniel
Toys,2022-08-28,906.22,4,E005,Action Figure,Olivia
Clothing,2022-01-14,410.14,5,B002,T-shirt,Sarah
Toys,2020-05-31,387.53,3,D004,Novel,Jane
Books,2022-09-08,982.09,5,E005,Action Figure,Michael
Books,2021-04-12,745.79,1,I009,Cookbook,Alex
Electronics,2023-01-26,281.55,10,F006,Laptop,Daniel
Clothing,2020-12-10,824.94,8,J010,Board Game,Sarah
Electronics,2020-12-19,153.89,5,C003,Refrigerator,Emily
Books,2022-08-15,966.67,4,A001,Smartphone,Olivia
Books,2020-09-11,410.98,9,O015,Puzzle,Andrew
Electronics,2022-01-06,704.68,4,I009,Cookbook,Alex
Books,2022-09-12,476.36,9,K011,Headphones,David
Electronics,2021-11-17,524.31,10,M013,Vacuum Cleaner,John
Home Appliances,2022-09-23,459.8,10,B002,T-shirt,Alex
Clothing,2021-04-14,130.5,8,O015,Puzzle,Emily
Books,2023-03-21,569.56,6,B002,T-shirt,Daniel
Clothing,2020-08-22,824.13,5,I009,Cookbook,Emily
Electronics,2022-08-19,457.88,10,D004,Novel,Sarah
Toys,2020-12-30,994.75,7,G007,Jeans,David
Home Appliances,2022-06-14,312.44,2,F006,Laptop,Alex
Toys,2021-10-25,817.16,6,A001,Smartphone,Jane
Books,2023-04-27,550.12,6,I009,Cookbook,Alex
Electronics,2020-10-18,679.72,3,F006,Laptop,Sarah
Toys,2020-09-09,810.11,10,A001,Smartphone,Sarah
Toys,2020-09-26,522.34,8,K011,Headphones,Emily
Toys,2021-02-26,357.71,1,I009,Cookbook,John
Home Appliances,2022-05-11,747.72,10,O015,Puzzle,Sarah
Electronics,2023-03-25,511.71,2,M013,Vacuum Cleaner,Emily
Clothing,2021-01-10,873.93,1,C003,Refrigerator,Sarah
Clothing,2020-09-13,745.01,5,K011,Headphones,Alex
Clothing,2022-06-25,428.12,10,F006,Laptop,Sarah
Home Appliances,2021-12-24,236.4,9,I009,Cookbook,Alex
Books,2023-02-26,461.52,9,E005,Action Figure,Andrew
Home Appliances,2023-01-01,967.77,8,H008,Microwave,Olivia
Books,2021-12-27,169.3,9,A001,Smartphone,Andrew
Clothing,2022-08-30,683.58,4,F006,Laptop,Daniel
Books,2020-05-30,590.81,7,E005,Action Figure,Sarah
Toys,2020-10-26,907.95,8,A001,Smartphone,Olivia
Clothing,2022-03-31,444.99,6,E005,Action Figure,Andrew
Clothing,2020-11-28,392.78,1,A001,Smartphone,David
Electronics,2022-09-22,872.6,5,A001,Smartphone,Andrew
Clothing,2021-11-17,225.37,9,I009,Cookbook,Daniel
Toys,2023-04-17,954.04,4,F006,Laptop,Daniel
Home Appliances,2023-02-05,632.36,1,L012,Dress,Emily
Home Appliances,2020-12-27,580.6,3,K011,Headphones,Emily
Books,2023-01-29,905.05,1,G007,Jeans,Daniel
Clothing,2023-01-06,109.43,5,A001,Smartphone,Andrew
Toys,2023-01-25,890.41,1,L012,Dress,John
Clothing,2023-01-21,733.89,5,O015,Puzzle,Emily
Toys,2020-10-25,293.37,1,I009,Cookbook,Alex
Clothing,2023-02-18,420.78,4,E005,Action Figure,David
Toys,2020-12-08,110.81,2,F006,Laptop,Michael
Electronics,2023-03-02,926.35,9,N014,Art Book,Olivia
Electronics,2023-04-05,238.16,3,I009,Cookbook,John
Electronics,2022-07-20,102.56,9,B002,T-shirt,Emily
Home Appliances,2022-12-21,466.43,7,B002,T-shirt,Michael
Clothing,2023-05-25,930.21,3,E005,Action Figure,Alex
Toys,2021-01-16,843.52,9,O015,Puzzle,David
Books,2020-06-08,793.28,2,J010,Board Game,Michael
Toys,2022-03-15,862.54,7,N014,Art Book,John
Toys,2020-12-26,818.13,8,J010,Board Game,Alex
Home Appliances,2023-04-21,467.68,5,H008,Microwave,Michael
Home Appliances,2020-12-24,962.08,9,C003,Refrigerator,Alex
Toys,2021-07-09,691.72,6,O015,Puzzle,Michael
Toys,2021-06-24,521.0,7,N014,Art Book,David
Electronics,2021-12-06,497.91,2,I009,Cookbook,Sarah
Toys,2022-05-13,230.55,9,H008,Microwave,David
Electronics,2021-01-12,681.63,2,H008,Microwave,Olivia
Home Appliances,2021-10-08,368.18,5,K011,Headphones,Andrew
Home Appliances,2021-04-29,350.48,9,K011,Headphones,Olivia
Books,2023-01-09,870.74,9,H008,Microwave,Alex
Clothing,2021-12-27,282.63,7,H008,Microwave,Olivia
Books,2021-07-26,872.82,7,G007,Jeans,Olivia
Clothing,2020-08-09,651.13,6,A001,Smartphone,Daniel
Clothing,2022-06-04,530.5,1,N014,Art Book,Jane
Clothing,2023-01-12,432.27,6,F006,Laptop,Jane
Toys,2021-06-03,198.67,6,M013,Vacuum Cleaner,John
Clothing,2022-10-03,948.3,4,M013,Vacuum Cleaner,Daniel
Toys,2022-11-09,694.39,10,E005,Action Figure,Andrew
Toys,2022-05-10,227.35,10,C003,Refrigerator,Emily
Home Appliances,2022-09-30,852.07,10,G007,Jeans,Emily
Toys,2020-09-24,273.71,10,E005,Action Figure,Michael
Books,2021-08-17,103.62,2,G007,Jeans,Olivia
Books,2023-05-18,511.76,5,L012,Dress,Sarah
Home Appliances,2021-01-17,526.59,9,O015,Puzzle,David
Home Appliances,2021-07-04,771.46,9,E005,Action Figure,Olivia
Clothing,2022-06-23,773.29,6,N014,Art Book,Michael
Books,2022-01-20,988.62,8,I009,Cookbook,David
Books,2021-06-08,906.53,7,C003,Refrigerator,David
Electronics,2020-10-29,840.42,10,D004,Novel,Alex
Toys,2020-07-17,850.66,10,A001,Smartphone,Jane
Electronics,2021-10-12,422.54,7,G007,Jeans,David
Books,2021-09-05,629.35,7,I009,Cookbook,Jane
Electronics,2021-10-26,199.97,10,I009,Cookbook,David
Books,2021-01-05,512.82,1,M013,Vacuum Cleaner,Andrew
Toys,2022-10-27,843.81,6,O015,Puzzle,Daniel
Electronics,2021-05-16,156.85,6,G007,Jeans,Emily
Clothing,2022-08-30,792.57,8,N014,Art Book,Alex
Books,2021-01-21,102.45,10,E005,Action Figure,Alex
Clothing,2022-07-24,806.62,6,H008,Microwave,Michael
Clothing,2021-10-01,988.01,8,F006,Laptop,John
Clothing,2020-06-05,925.6,7,E005,Action Figure,Alex
Home Appliances,2021-03-15,654.79,6,F006,Laptop,Andrew
Toys,2023-05-04,163.92,1,D004,Novel,Olivia
Toys,2020-12-24,125.02,7,N014,Art Book,David
Books,2020-09-08,519.77,2,I009,Cookbook,Michael
Electronics,2022-12-14,332.8,6,B002,T-shirt,Emily
Books,2021-01-27,869.83,10,L012,Dress,David
Clothing,2021-11-07,497.67,8,A001,Smartphone,Alex
Clothing,2021-09-15,718.7,6,H008,Microwave,David
Toys,2022-11-18,471.39,9,E005,Action Figure,Daniel
Books,2020-11-15,378.64,9,E005,Action Figure,Emily
Books,2020-07-10,895.69,6,D004,Novel,Sarah
Books,2021-11-22,676.69,9,E005,Action Figure,Olivia
Books,2022-08-17,809.68,10,O015,Puzzle,John
Toys,2022-05-01,110.52,3,I009,Cookbook,Jane
Books,2021-04-04,119.82,2,C003,Refrigerator,Alex
Toys,2021-02-08,289.94,4,M013,Vacuum Cleaner,Michael
Toys,2023-01-03,751.01,6,A001,Smartphone,John
Books,2023-03-03,661.78,1,L012,Dress,Jane
Books,2020-06-03,881.46,6,H008,Microwave,Sarah
Electronics,2022-01-03,724.46,8,I009,Cookbook,Alex
Clothing,2021-03-29,370.79,10,J010,Board Game,Emily
Toys,2021-05-13,460.44,1,O015,Puzzle,Sarah
Clothing,2020-12-17,885.48,9,B002,T-shirt,Michael
Clothing,2022-05-03,762.54,1,L012,Dress,Emily
Clothing,2020-06-28,201.91,6,O015,Puzzle,Olivia
Books,2022-11-27,357.28,3,L012,Dress,Olivia
Home Appliances,2022-09-25,312.36,5,M013,Vacuum Cleaner,Andrew
Books,2020-09-09,902.8,2,L012,Dress,Andrew
Electronics,2020-06-05,165.02,5,L012,Dress,Daniel
Electronics,2021-08-26,743.0,1,H008,Microwave,Sarah
Home Appliances,2021-10-24,608.18,9,J010,Board Game,Andrew
Clothing,2022-09-08,700.89,4,J010,Board Game,Daniel
Books,2022-12-28,576.7,3,F006,Laptop,Olivia
Clothing,2021-01-20,927.1,2,C003,Refrigerator,Alex
Electronics,2022-02-16,521.42,4,H008,Microwave,Sarah
Books,2021-07-22,966.23,8,G007,Jeans,Alex
Electronics,2020-09-21,979.28,7,M013,Vacuum Cleaner,Daniel
Toys,2020-09-11,576.6,6,E005,Action Figure,John
Books,2022-01-01,909.01,9,H008,Microwave,Sarah
Home Appliances,2022-07-09,723.91,10,G007,Jeans,Sarah
Electronics,2023-03-20,408.71,6,F006,Laptop,Sarah
Electronics,2022-12-17,894.66,4,I009,Cookbook,Sarah
Books,2023-04-07,740.79,6,J010,Board Game,John
Home Appliances,2022-10-19,506.49,1,C003,Refrigerator,Daniel
Electronics,2022-07-21,352.99,1,J010,Board Game,Olivia
Books,2023-03-23,501.03,4,B002,T-shirt,John
Home Appliances,2023-03-09,441.25,2,B002,T-shirt,Daniel
Clothing,2023-04-30,362.08,10,N014,Art Book,Daniel
Electronics,2020-08-15,160.95,3,I009,Cookbook,Jane
Clothing,2021-08-22,544.73,5,E005,Action Figure,Emily
Home Appliances,2022-03-09,734.58,6,D004,Novel,Alex
Electronics,2022-03-26,381.26,10,N014,Art Book,Jane
Books,2023-03-29,740.45,2,M013,Vacuum Cleaner,Olivia
Books,2022-01-18,908.81,9,H008,Microwave,John
Clothing,2021-10-10,217.44,5,M013,Vacuum Cleaner,David
Books,2022-02-07,242.67,9,A001,Smartphone,Daniel
Electronics,2021-01-22,142.86,3,A001,Smartphone,Jane
Books,2023-01-28,489.05,8,A001,Smartphone,Andrew
Books,2020-12-12,126.57,7,H008,Microwave,Alex
Clothing,2023-03-10,265.29,3,A001,Smartphone,Jane
Electronics,2022-10-28,806.38,6,K011,Headphones,Jane
Toys,2022-02-21,446.29,9,A001,Smartphone,Michael
Home Appliances,2022-08-06,605.95,7,O015,Puzzle,Daniel
Toys,2022-11-11,567.31,10,L012,Dress,Michael
Electronics,2023-04-17,759.92,3,H008,Microwave,Michael
Electronics,2022-11-30,149.94,3,D004,Novel,Alex
Electronics,2021-09-14,658.13,2,D004,Novel,Emily
Clothing,2020-06-25,465.14,2,J010,Board Game,Emily
Electronics,2022-03-31,270.74,2,D004,Novel,Emily
Toys,2022-03-16,540.5,10,K011,Headphones,Jane
Home Appliances,2020-09-18,764.2,4,J010,Board Game,Emily
Toys,2021-08-12,296.69,9,H008,Microwave,Alex
Clothing,2022-12-07,619.55,8,E005,Action Figure,Emily
Books,2021-10-07,126.67,4,B002,T-shirt,Sarah
Books,2022-03-24,886.4,8,G007,Jeans,Sarah
Clothing,2021-03-02,918.58,8,G007,Jeans,David
Toys,2021-02-13,949.08,9,C003,Refrigerator,John
Toys,2022-12-08,533.14,8,K011,Headphones,Daniel
Toys,2022-11-01,549.95,3,D004,Novel,Olivia
Clothing,2021-12-17,898.32,2,L012,Dress,Daniel
Clothing,2021-03-05,150.32,1,B002,T-shirt,Olivia
Clothing,2020-07-07,611.38,1,J010,Board Game,Michael
Toys,2023-03-07,824.88,10,K011,Headphones,John
Home Appliances,2021-02-23,673.82,7,D004,Novel,Andrew
Books,2020-08-21,961.63,3,E005,Action Figure,Olivia
Home Appliances,2022-07-07,834.89,6,F006,Laptop,John
Books,2022-06-07,815.95,3,D004,Novel,John
Books,2022-07-25,910.85,9,H008,Microwave,Daniel
Electronics,2022-11-26,939.4,1,B002,T-shirt,Jane
Books,2020-12-16,116.96,9,N014,Art Book,Olivia
Books,2021-02-12,781.23,5,A001,Smartphone,Sarah
Electronics,2021-04-22,815.77,8,N014,Art Book,Alex
Books,2021-02-14,477.27,6,F006,Laptop,Emily
Books,2022-08-22,909.24,8,G007,Jeans,John
Clothing,2021-02-24,297.51,7,K011,Headphones,Sarah
Home Appliances,2020-09-30,656.85,4,J010,Board Game,Andrew
Home Appliances,2022-06-23,823.32,9,M013,Vacuum Cleaner,Alex
Electronics,2021-03-02,439.13,5,F006,Laptop,Daniel
Electronics,2021-06-11,256.77,4,C003,Refrigerator,Emily
Books,2023-02-25,716.63,1,C003,Refrigerator,Daniel
Home Appliances,2022-07-29,640.01,8,K011,Headphones,Emily
Toys,2020-11-06,205.6,1,J010,Board Game,Sarah
Books,2023-01-18,467.12,9,H008,Microwave,Michael
Books,2021-09-23,358.95,5,N014,Art Book,John
Electronics,2023-02-16,615.24,1,H008,Microwave,David
Books,2020-09-08,254.57,6,A001,Smartphone,Andrew
Books,2022-06-03,417.56,6,C003,Refrigerator,David
Toys,2022-09-08,903.2,7,K011,Headphones,Michael
Electronics,2022-03-30,844.67,4,D004,Novel,Sarah
Books,2020-09-11,488.16,8,J010,Board Game,Jane
Toys,2022-05-19,979.82,2,M013,Vacuum Cleaner,Olivia
Electronics,2022-07-23,116.17,3,E005,Action Figure,Olivia
Toys,2021-09-02,741.14,4,M013,Vacuum Cleaner,Alex
Clothing,2022-05-22,498.5,6,H008,Microwave,Jane
Electronics,2021-03-09,620.06,2,L012,Dress,Olivia
Books,2021-08-19,270.67,6,C003,Refrigerator,Olivia
Toys,2022-03-11,251.22,1,L012,Dress,Sarah
Home Appliances,2023-03-23,847.71,4,B002,T-shirt,Andrew
Books,2022-12-02,293.47,9,F006,Laptop,Sarah
Electronics,2023-05-01,252.09,2,K011,Headphones,Daniel
Electronics,2023-03-01,814.26,8,J010,Board Game,Sarah
Home Appliances,2022-05-06,888.19,6,J010,Board Game,Daniel
Clothing,2022-05-25,708.44,6,L012,Dress,Sarah
Home Appliances,2022-11-13,477.04,8,A001,Smartphone,Sarah
Toys,2020-10-31,709.35,7,B002,T-shirt,Olivia
Books,2020-12-25,372.04,5,D004,Novel,Olivia
Electronics,2021-04-09,756.01,8,J010,Board Game,David
Books,2021-08-24,413.49,3,B002,T-shirt,Sarah
Home Appliances,2020-07-01,553.53,9,C003,Refrigerator,Sarah
Toys,2020-07-11,547.1,10,G007,Jeans,Emily
Clothing,2021-08-10,840.45,8,E005,Action Figure,John
Toys,2022-07-14,971.26,5,B002,T-shirt,Alex
Toys,2022-07-08,520.64,5,G007,Jeans,Emily
Clothing,2022-02-10,315.61,9,A001,Smartphone,David
Clothing,2020-08-30,886.83,2,N014,Art Book,Daniel
Books,2022-05-09,444.08,5,N014,Art Book,Emily
Books,2021-11-25,342.67,8,J010,Board Game,Alex
Clothing,2022-07-30,370.26,10,G007,Jeans,Daniel
Clothing,2022-12-10,487.74,5,K011,Headphones,Olivia
Toys,2020-12-14,305.31,5,F006,Laptop,John
Toys,2022-08-26,915.97,8,O015,Puzzle,David
