ASX_Code,Company,Headline,Date,CR_Price,Current_Price,Price_Diff_%,PDF_Link
CC9,CHARIOT RESOURCES LTD,Shares Issued Pursuant to $2.15m Placement,2026-03-19,0.1,0.09,-10.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03070457-6A1317252?access_token=83ff96335c2d45a094df02a206a39ff4
SMI,SANTANA MINERALS LIMITED,Results of the Share Purchase Plan,2026-03-19,0.9,0.745,-17.22,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03070491-6A1317261?access_token=83ff96335c2d45a094df02a206a39ff4
MGT,MAGNETITE MINES LIMITED.,Renounceable Rights Issue Closing,2026-03-19,0.04,0.0385,-3.75,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03070126-6A1317115?access_token=83ff96335c2d45a094df02a206a39ff4
GSN,GREAT SOUTHERN MINING LIMITED,$4.6 MILLION PLACEMENT TO DRIVE AGGRESSIVE GOLD DRILLING,2026-03-19,0.028,0.026,-7.14,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03070467-6A1317238?access_token=83ff96335c2d45a094df02a206a39ff4
TMK,TMK ENERGY LIMITED,TMK Raises $6M in Oversubscribed Placement,2026-03-18,0.12,0.14,16.67,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03070062-6A1317088?access_token=83ff96335c2d45a094df02a206a39ff4
FND,FINDI LIMITED,Findi Completes Settlement of T1 of Institutional Placement,2026-03-18,0.7,0.76,8.57,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03070089-3A689736?access_token=83ff96335c2d45a094df02a206a39ff4
NVO,NOVO RESOURCES CORP.,Options Quotation,2026-03-18,0.15,0.076,-49.33,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03070026-6A1317074?access_token=83ff96335c2d45a094df02a206a39ff4
CXO,CORE LITHIUM LTD,$120 million Institutional Placement Supports Finniss FID,2026-03-18,0.21,0.22,4.76,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03070053-2A1661222?access_token=83ff96335c2d45a094df02a206a39ff4
SMS,STAR MINERALS LIMITED,Completion of Agreement with Catalyst Metals,2026-03-18,0.062,0.055,-11.29,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03069962-6A1317048?access_token=83ff96335c2d45a094df02a206a39ff4
ANX,ANAX METALS LIMITED,$10 Million Capital Raising,2026-03-17,0.023,0.025,8.7,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03069625-6A1316909?access_token=83ff96335c2d45a094df02a206a39ff4
VMM,VIRIDIS MINING AND MINERALS LIMITED,Strong Global Institutional Demand Drives A$25M Placement,2026-03-17,1.9,1.925,1.32,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03069608-6A1316902?access_token=83ff96335c2d45a094df02a206a39ff4
IMU,IMUGENE LIMITED,Prospectus,2026-03-17,0.18,0.145,-19.44,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03069392-3A689602?access_token=83ff96335c2d45a094df02a206a39ff4
ADR,ADHERIUM LIMITED,Results of Retail Entitlement Offer,2026-03-16,,0.002,,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03069129-3A689563?access_token=83ff96335c2d45a094df02a206a39ff4
HRZ,HORIZON MINERALS LIMITED,Results of Share Purchase Plan,2026-03-16,1.08,0.93,-13.89,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03069008-6A1316701?access_token=83ff96335c2d45a094df02a206a39ff4
OSL,ONCOSIL MEDICAL LTD,Results of Entitlement Offer,2026-03-16,0.68,0.52,-23.53,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03069084-2A1660747?access_token=83ff96335c2d45a094df02a206a39ff4
ERE,EUROPEAN RESOURCES LIMITED,Renounceable Rights Issue to raise up to $4.3 million,2026-03-16,0.019,0.017,-10.53,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03069107-2A1660758?access_token=83ff96335c2d45a094df02a206a39ff4
VEN,VINTAGE ENERGY LTD,Capital raising,2026-03-16,0.004,0.004,0.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03069199-2A1660813?access_token=83ff96335c2d45a094df02a206a39ff4
A11,ATLANTIC LITHIUM LIMITED,Corporate Funding Update,2026-03-16,6.0,0.295,-95.08,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03069208-2A1660820?access_token=83ff96335c2d45a094df02a206a39ff4
R8R,REGENER8 RESOURCES NL,Regener8 Launches Entitlement Offer,2026-03-15,0.1,0.165,65.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03068561-6A1316416?access_token=83ff96335c2d45a094df02a206a39ff4
BAS,BASS OIL LIMITED,Successful $3 Million Placement,2026-03-15,0.063,0.061,-3.17,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03068645-3A689475?access_token=83ff96335c2d45a094df02a206a39ff4
ONE,ONEVIEW HEALTHCARE PLC,Oneview Healthcare undertakes A$19 million Placement and lau,2026-03-15,0.19,0.195,2.63,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03068421-2A1660441?access_token=83ff96335c2d45a094df02a206a39ff4
M2R,MIRAMAR RESOURCES LIMITED,$1.49M Placement Completed to Fund Gold & Copper Exploration,2026-03-15,,0.003,,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03068440-6A1316421?access_token=83ff96335c2d45a094df02a206a39ff4
EV1,EVOLUTION ENERGY MINERALS LIMITED,Correction to Appendix 2A - Rights Issue,2026-03-13,,0.011,,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03068294-6A1316335?access_token=83ff96335c2d45a094df02a206a39ff4
EMP,EMPEROR ENERGY LIMITED,Successful $17.5M Placement,2026-03-13,0.12,0.1,-16.67,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03067942-2A1660035?access_token=83ff96335c2d45a094df02a206a39ff4
ADX,ADX ENERGY LTD,ADX Secures $4.4 million from a Strongly Supported Placement,2026-03-12,0.027,0.026,-3.7,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03067869-6A1316168?access_token=83ff96335c2d45a094df02a206a39ff4
CY5,CYGNUS METALS LIMITED,Successful A$25m Placement,2026-03-12,0.16,0.135,-15.62,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03067897-6A1316187?access_token=83ff96335c2d45a094df02a206a39ff4
TZL,TZ LIMITED,TZL Announces Capital Raise and Appointment of Group CEO,2026-03-12,0.05,0.038,-24.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03067699-2A1659951?access_token=83ff96335c2d45a094df02a206a39ff4
CPN,CASPIN RESOURCES LIMITED,Capital Raising,2026-03-12,0.135,0.11,-18.52,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03067912-6A1316197?access_token=83ff96335c2d45a094df02a206a39ff4
CMO,COSMO METALS LIMITED,Completion of Entitlement Offer,2026-03-11,0.01,0.007,-30.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03067442-6A1315998?access_token=83ff96335c2d45a094df02a206a39ff4
HRN,HORIZON GOLD LIMITED,Non-Renounceable Entitlement Offer Document Despatch,2026-03-11,1.2,1.32,10.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03067371-6A1315971?access_token=83ff96335c2d45a094df02a206a39ff4
CTQ,CARETEQ LIMITED,Careteq completes $2.2m capital raising,2026-03-10,0.005,0.007,40.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03066923-2A1659551?access_token=83ff96335c2d45a094df02a206a39ff4
ATV,ACTIVEPORT GROUP LTD,ATV Capital Raising Clarification,2026-03-09,0.033,0.01,-69.7,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03066023-6A1315384?access_token=83ff96335c2d45a094df02a206a39ff4
HCL,HIGHCOM LIMITED,Results of Share Purchase Plan,2026-03-09,,0.2,,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03066404-3A689099?access_token=83ff96335c2d45a094df02a206a39ff4
CYC,CYCLOPHARM LIMITED,Results of CYC Share Purchase Plan,2026-03-09,0.95,0.8,-15.79,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03065945-2A1658992?access_token=83ff96335c2d45a094df02a206a39ff4
HFY,HUBIFY LIMITED,Clarification to HFY announcement HFY Strategic Placement,2026-03-09,,0.016,,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03066011-2A1659038?access_token=83ff96335c2d45a094df02a206a39ff4
AXP,AXP ENERGY LIMITED,"Successful $800,000 Placement",2026-03-08,0.012,0.012,0.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03065926-2A1658970?access_token=83ff96335c2d45a094df02a206a39ff4
CRS,CAPRICE RESOURCES LTD,$12.74M Placement to Accelerate Exploration Drilling,2026-03-08,0.08,0.08,0.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03065927-6A1315353?access_token=83ff96335c2d45a094df02a206a39ff4
SHP,TURNSTONE RESOURCES LTD,A$1.25 Million Placement to Advance Copper-Gold Exploration,2026-03-08,0.03,,,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03065893-6A1315331?access_token=83ff96335c2d45a094df02a206a39ff4
LOT,LOTUS RESOURCES LIMITED,Results of Share Purchase Plan,2026-03-08,,1.325,,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03065746-6A1315280?access_token=83ff96335c2d45a094df02a206a39ff4
SPX,SPENDA LIMITED,Private Placement raise of $1.4m,2026-03-05,0.002,0.002,0.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03065359-3A688931?access_token=83ff96335c2d45a094df02a206a39ff4
AAM,AUMEGA METALS LTD,AuMEGA Tranche One Closing,2026-03-05,0.0544,0.035,-35.66,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03065346-6A1315104?access_token=83ff96335c2d45a094df02a206a39ff4
G88,GOLDEN MILE RESOURCES LTD,Private Placement to Raise $730K,2026-03-05,0.006,0.006,0.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03065302-3A688899?access_token=83ff96335c2d45a094df02a206a39ff4
GT3,GREEN360 TECHNOLOGIES LIMITED,Completion of $4.5 Million Placement,2026-03-05,0.04,0.031,-22.5,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03065341-6A1315082?access_token=83ff96335c2d45a094df02a206a39ff4
PV1,PROVARIS ENERGY LTD,Funding to Advance 2026 Development Milestones,2026-03-04,0.01,0.009000000000000001,-10.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03064883-6A1314925?access_token=83ff96335c2d45a094df02a206a39ff4
NAG,NAGAMBIE RESOURCES LIMITED,2026 Share Purchase Plan Terms and Conditions,2026-03-04,0.015,0.013,-13.33,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03064824-3A688818?access_token=83ff96335c2d45a094df02a206a39ff4
PIL,PEPPERMINT INNOVATION LIMITED,Peppermint attracts $2.1M from Philippines Payment Sector,2026-03-04,0.035,0.004,-88.57,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03064609-6A1314832?access_token=83ff96335c2d45a094df02a206a39ff4
ID8,IDENTITII LIMITED,Rights Issue Closure and Shortfall Notification,2026-03-04,0.007,0.008,14.29,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03064758-2A1658045?access_token=83ff96335c2d45a094df02a206a39ff4
PYC,PYC THERAPEUTICS LIMITED,Completion of Retail Entitlement Offer,2026-03-03,1.5,1.22,-18.67,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03064354-6A1314757?access_token=83ff96335c2d45a094df02a206a39ff4
GNE,GENESIS ENERGY LIMITED,Genesis Energy announces opening of Rights Offer,2026-03-03,2.05,1.83,-10.73,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03064197-2A1657725?access_token=83ff96335c2d45a094df02a206a39ff4
AUB,AUB GROUP LIMITED,AUB Group successfully completes Share Purchase Plan,2026-03-03,23.62,24.28,2.79,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03064261-2A1657751?access_token=83ff96335c2d45a094df02a206a39ff4
C1X,COSMOS EXPLORATION LIMITED,C1X advises intention to exercise EAU Lithium Option,2026-03-03,0.2,0.195,-2.5,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03064394-6A1314731?access_token=83ff96335c2d45a094df02a206a39ff4
AVL,AUSTRALIAN VANADIUM LIMITED,$7.5m Placement to Accelerate Integrated Strategy,2026-03-03,7.5,0.21,-97.2,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03064329-6A1314717?access_token=83ff96335c2d45a094df02a206a39ff4
OD6,OD6 METALS LIMITED,OD6 TO ACQUIRE ULTRA HIGH GRADE USA FLUORSPAR PROJECTS,2026-03-03,,0.092,,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03064403-6A1314758?access_token=83ff96335c2d45a094df02a206a39ff4
FHS,FREEHILL MINING LIMITED.,$1.5m Placement to Fund Exploration & Processing Activities,2026-03-02,0.003,0.0015,-50.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03063945-3A688634?access_token=83ff96335c2d45a094df02a206a39ff4
MFG,MAGELLAN FINANCIAL GROUP LIMITED,Placement completion announcement,2026-03-02,8.45,10.19,20.59,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03063857-2A1657494?access_token=83ff96335c2d45a094df02a206a39ff4
IVR,INVESTIGATOR SILVER LIMITED,A$55M Placement to accelerate Paris,2026-03-02,0.086,0.071,-17.44,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03063884-2A1657479?access_token=83ff96335c2d45a094df02a206a39ff4
ARL,ARDEA RESOURCES LIMITED,Successful $5M Placement and launch of Share Purchase Plan,2026-03-02,0.6,0.515,-14.17,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03063803-6A1314498?access_token=83ff96335c2d45a094df02a206a39ff4
GW1,GREENWING RESOURCES LTD,Investor Presentation | Equity Raising,2026-03-02,,0.041,,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03063813-6A1314524?access_token=83ff96335c2d45a094df02a206a39ff4
ABE,AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED,Further Information re Recent Placement,2026-03-01,0.03,0.02,-33.33,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03063344-2A1657183?access_token=83ff96335c2d45a094df02a206a39ff4
RCR,RINCON RESOURCES LIMITED,Successful Completion of $3.1 Million Placement,2026-03-01,0.025,0.017,-32.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03063360-6A1314368?access_token=83ff96335c2d45a094df02a206a39ff4
PRO,PROPHECY INTERNATIONAL HOLDINGS LIMITED,Prophecy Completes Equity Raising,2026-02-26,,0.11,,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03062677-2A1656838?access_token=83ff96335c2d45a094df02a206a39ff4
AEV,AVENIRA LIMITED,Additional Investment from Sichuan Hebang Biotechnology,2026-02-26,0.0075,0.0075,0.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03062537-6A1314082?access_token=83ff96335c2d45a094df02a206a39ff4
KCC,KINCORA COPPER LIMITED,Kincora raises $4 million in Strongly Supported Placement,2026-02-26,1.05,0.865,-17.62,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03062532-6A1314063?access_token=83ff96335c2d45a094df02a206a39ff4
TM1,TERRA METALS LIMITED,$85 Million Institutional Placement to Advance Southwest,2026-02-26,0.37,0.27,-27.03,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03062542-6A1314064?access_token=83ff96335c2d45a094df02a206a39ff4
X2M,X2M CONNECT LIMITED,$3m capital raise,2026-02-26,0.006,0.004,-33.33,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03062372-3A688282?access_token=83ff96335c2d45a094df02a206a39ff4
ACW,ACTINOGEN MEDICAL LIMITED,ACW successfully completes $16.8m Placement and SPP,2026-02-26,0.042,0.037,-11.9,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03062510-2A1656756?access_token=83ff96335c2d45a094df02a206a39ff4
1TT,THRIVE TRIBE TECHNOLOGIES LIMITED,Completion of Capital Raise,2026-02-25,0.002,0.001,-50.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03061795-2A1656321?access_token=83ff96335c2d45a094df02a206a39ff4
ENX,ENEGEX LIMITED,$10.2M Placement to Explore Expansive Tenure in Cote DIvoire,2026-02-25,0.23,0.2,-13.04,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03061723-6A1313822?access_token=83ff96335c2d45a094df02a206a39ff4
HTG,HARVEST TECHNOLOGY GROUP LTD,Placement Raises A$1.63 million,2026-02-25,0.014,0.012,-14.29,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03061803-6A1313851?access_token=83ff96335c2d45a094df02a206a39ff4
CCO,THE CALMER CO INTERNATIONAL LIMITED,The Calmer Co raises $1.6m in placement,2026-02-25,0.0035,0.0025,-28.57,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03061706-6A1313808?access_token=83ff96335c2d45a094df02a206a39ff4
WAA,WAM ACTIVE LIMITED,Oversubscribed Entitlement Offer and Placement raises $70.7m,2026-02-24,0.01,0.915,9050.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03060946-2A1655845?access_token=83ff96335c2d45a094df02a206a39ff4
CAE,CANNINDAH RESOURCES LIMITED,Share Purchase Plan (SPP) closes oversubscribed,2026-02-24,0.045,0.035,-22.22,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03060811-6A1313583?access_token=83ff96335c2d45a094df02a206a39ff4
AHF,AUSTRALIAN DAIRY NUTRITIONALS LIMITED,Completion of the Entitlement Offer,2026-02-24,0.028,0.025,-10.71,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03060800-3A687952?access_token=83ff96335c2d45a094df02a206a39ff4
RRR,REVOLVER RESOURCES HOLDINGS LTD,Successful A$2.6M Capital Raising To Advance Dianne,2026-02-24,0.07,0.071,1.43,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03060947-6A1313605?access_token=83ff96335c2d45a094df02a206a39ff4
CHM,CHIMERIC THERAPEUTICS LIMITED,Funding and EGM update,2026-02-24,0.003,0.002,-33.33,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03060774-2A1655725?access_token=83ff96335c2d45a094df02a206a39ff4
EGA,EASTERN GAS CORPORATION LIMITED,Replacement Prospectus,2026-02-24,0.2,0.165,-17.5,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03060352-2A1655512?access_token=83ff96335c2d45a094df02a206a39ff4
A4N,ALPHA HPA LIMITED,Completion of Share Purchase Plan,2026-02-23,0.64,0.55,-14.06,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03060166-2A1655410?access_token=83ff96335c2d45a094df02a206a39ff4
CTN,CATALINA RESOURCES LTD,Catalina Divests NBR and Strengthens Balance Sheet,2026-02-23,0.115,0.068,-40.87,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03060169-6A1313383?access_token=83ff96335c2d45a094df02a206a39ff4
GCI,GRYPHON CAPITAL INCOME TRUST,Completion of Placement,2026-02-23,2.0,2.01,0.5,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03060165-2A1655307?access_token=83ff96335c2d45a094df02a206a39ff4
TER,TERRACOM LIMITED,Placement,2026-02-23,0.06,0.105,75.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03059898-2A1655250?access_token=83ff96335c2d45a094df02a206a39ff4
OLY,OLYMPIO METALS LIMITED,Olympio Expands in USA - High Grade Silver/Antimony Projects,2026-02-23,,0.06,,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03060232-6A1313408?access_token=83ff96335c2d45a094df02a206a39ff4
VRL,VERITY RESOURCES LIMITED,Entitlement Offer Open/Despatch Letter Eligible Shareholders,2026-02-23,0.025,0.022,-12.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03059637-6A1313204?access_token=83ff96335c2d45a094df02a206a39ff4
WSR,WESTAR RESOURCES LIMITED,Placement to raise $1.49M,2026-02-22,0.005,0.006,20.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03059568-2A1655052?access_token=83ff96335c2d45a094df02a206a39ff4
AGD,AUSTRAL GOLD LIMITED,Austral Gold Completes A$8.456 million Strategic Placement,2026-02-22,0.18,0.135,-25.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03059598-2A1655088?access_token=83ff96335c2d45a094df02a206a39ff4
CLA,CELSIUS RESOURCES LIMITED.,Celsius Raises A$9.3m in Strong Institutional Placement,2026-02-22,0.02,0.014,-30.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03059496-6A1313109?access_token=83ff96335c2d45a094df02a206a39ff4
1MC,MORELLA CORPORATION LIMITED,Firm Commitments Received For $2.1 Million Placement,2026-02-22,2.1,0.03,-98.57,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03059578-6A1313119?access_token=83ff96335c2d45a094df02a206a39ff4
FTI,FORTIFAI LTD,FortifAI Raises $5M in Strategic Placement,2026-02-19,0.3,0.435,45.0,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03058892-2A1654737?access_token=83ff96335c2d45a094df02a206a39ff4
CEN,CONTACT ENERGY LIMITED,Capital Change Notice - placement,2026-02-19,8.75,7.6,-13.14,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-03058879-2A1654733?access_token=83ff96335c2d45a094df02a206a39ff4
