rings,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,sex_m,sex_f,sex_i
9,-0.021963488,-0.107942671,0.005692653,-0.198043593,-0.139284804,-0.040280958,-0.162564412,0,0,1
9,-0.454032099,-0.311928821,-0.267554687,-0.46140445,-0.230355637,-0.519962595,-0.511103441,0,0,1
10,-0.583652683,-0.566911509,-0.677425697,-0.680528913,-0.696424019,-0.658332298,-0.545957344,0,0,1
10,0.064450235,-0.056946134,-0.267554687,-0.087966984,0.091070833,0.153436626,-0.267126121,0,0,1
9,-0.713273266,-0.617908046,-1.087296706,-0.812209342,-0.749995097,-0.635270681,-0.964204178,1,0,0
9,0.021243373,-0.107942671,0.278939993,-0.306062694,-0.024106985,-0.381592892,-0.406541732,0,0,1
10,-0.670066405,-0.515914971,-0.267554687,-0.833813162,-0.798209068,-0.653719974,-0.894496373,0,0,1
10,-0.410825238,-0.107942671,-0.540802027,-0.572509812,-0.626781617,-0.46000239,-0.371687829,0,0,1
7,-0.626859544,-0.566911509,-0.677425697,-0.856445736,-0.71785245,-0.686006238,-0.929350276,0,1,0
7,-1.058928155,-1.076876884,-1.223920376,-1.164042987,-1.084814337,-1.234872726,-1.173327596,0,1,0
7,-0.540445821,-0.566911509,-0.540802027,-0.605429919,-0.423211519,-0.722904826,-0.650519052,0,0,1
10,-0.583652683,-0.566911509,-0.540802027,-0.67024138,-0.557139215,-0.519962595,-0.650519052,1,0,0
7,-1.490996766,-1.382856109,-1.360544046,-1.311154716,-1.331241298,-1.280995961,-1.34759711,0,1,0
7,-1.663824211,-1.586842259,-1.360544046,-1.415058804,-1.502668749,-1.290220608,-1.417304916,0,1,0
7,-1.274962461,-1.229866496,-1.223920376,-1.204164368,-1.285705881,-1.193361816,-1.10361979,0,1,0
9,-0.324411516,-0.362925359,-0.130931017,-0.353385348,-0.21160576,-0.160201367,-0.232272218,1,0,0
10,-0.583652683,-0.515914971,0.005692653,-0.618803712,-0.629460171,-0.455390067,-0.61566515,0,0,1
12,-0.021963488,0.096043479,0.142316323,-0.433628109,-0.535710784,-0.501513301,-0.092856606,0,0,1
11,0.410105124,0.249033092,0.142316323,0.20522772,0.425890073,0.130375009,0.255682423,0,0,1
8,-0.454032099,-0.668904584,-0.677425697,-0.614688699,-0.460711274,-0.575310476,-0.685372955,1,0,0
10,-0.194790932,0.249033092,-0.267554687,-0.338982801,-0.326783578,-0.2847341,-0.267126121,0,0,1
9,-0.88610071,-1.076876884,-0.950673037,-0.933602237,-0.953565195,-0.875111499,-0.824788567,1,0,0
10,-0.194790932,-0.158939209,-0.130931017,-0.398650496,-0.238391299,-0.381592892,-0.511103441,1,0,0
7,-0.842893849,-0.872890734,-0.677425697,-1.074541446,-1.020529043,-1.018093525,-1.138473693,0,1,0
8,-0.10837721,0.096043479,0.142316323,-0.092081998,0.066963848,0.047353187,-0.232272218,1,0,0
8,-0.756480127,-0.770897659,-0.814049367,-0.839985682,-0.768744975,-0.819763618,-0.85964247,0,0,1
10,0.453311985,0.555012317,-0.677425697,0.048857211,0.182141666,-0.104853486,0.116266811,0,0,1
9,0.150863957,0.198036554,0.005692653,0.057087238,0.235712745,0.485523913,0.081412908,0,0,1
10,0.28048454,0.096043479,-1.360544046,-0.123973351,-0.088392279,0.259520065,-0.267126121,0,0,1
11,0.453311985,0.708001929,0.552187333,0.446984757,0.538389338,0.453237649,0.46480584,0,0,1
9,0.410105124,0.453019242,-0.677425697,0.118812439,0.289283823,0.167273596,0.046559005,0,0,1
9,0.366898262,0.300029629,-0.677425697,0.218601514,0.570531985,0.416339062,0.046559005,1,0,0
9,0.064450235,0.096043479,-0.677425697,-0.063276904,-0.045535417,-0.201712278,-0.232272218,0,0,1
10,0.582932568,0.657005392,0.688811003,0.722690655,0.921422548,0.490136237,0.813344869,1,0,0
12,0.712553152,0.402022704,-0.130931017,0.298844275,0.024106985,0.282581682,0.604221451,1,0,0
10,0.798966874,0.708001929,0.688811003,0.877003657,1.090171445,0.679241497,0.883052675,1,0,0
15,0.798966874,0.860991542,0.552187333,0.956217665,0.707138235,1.43566254,1.231591703,0,0,1
12,0.798966874,0.708001929,0.278939993,0.242262841,0.058928186,0.051965511,0.604221451,1,0,0
10,0.064450235,-0.209935746,-0.130931017,-0.539589704,-0.712495342,-0.307795717,-0.267126121,0,0,1
12,1.144621763,1.115974229,0.552187333,1.263814916,0.86785147,1.518684362,1.614984635,1,0,0
8,-0.410825238,-0.515914971,-0.677425697,-0.737110347,-0.747316543,-0.501513301,-0.824788567,0,1,0
9,-0.410825238,-0.413921896,-0.267554687,-0.635263766,-0.586603308,-0.649107651,-0.511103441,1,0,0
4,-2.139099683,-2.096807634,-2.043662396,-1.617723214,-1.714274508,-1.566960013,-1.661282236,0,1,0
6,-2.39834085,-2.351790322,-2.043662396,-1.636240774,-1.7089174,-1.599246277,-1.696136139,0,1,0
11,0.366898262,0.198036554,0.825434672,0.371885763,0.369640441,0.088864098,0.325390228,0,0,1
11,0.626139429,0.555012317,0.552187333,0.42023717,0.200891544,0.462462296,0.395098034,1,0,0
11,0.539725707,0.708001929,0.415563663,0.262837908,0.233034191,-0.183262984,0.395098034,0,0,1
14,0.194070818,0.249033092,-0.540802027,0.114697425,-0.064285294,-0.59375977,0.70878316,1,0,0
17,0.323691401,0.198036554,0.688811003,0.329706875,0.115177819,-0.210936925,0.778490966,1,0,0
12,0.28048454,0.198036554,0.825434672,0.140416259,0.128570588,-0.247835512,0.151120714,1,0,0
10,0.539725707,0.402022704,0.278939993,0.306045548,0.436604289,0.02429157,0.360244131,0,0,1
13,0.237277679,0.249033092,0.688811003,0.039598431,-0.07499951,-0.344694304,0.325390228,0,0,1
12,0.064450235,-0.107942671,-0.130931017,-0.281372614,-0.5812462,-0.584535123,-0.127710509,0,0,1
7,-0.842893849,-0.872890734,-1.223920376,-1.072483939,-1.253563234,-0.948908674,-1.068765887,0,1,0
11,-0.324411516,-0.209935746,0.142316323,-0.463461957,-0.399104534,-0.519962595,-0.371687829,0,0,1
7,-1.534203628,-1.586842259,-1.360544046,-1.379052437,-1.457133332,-1.382467076,-1.277889304,0,1,0
7,-1.318169322,-1.280863034,-1.360544046,-1.307039703,-1.416955023,-1.276383637,-1.277889304,0,1,0
7,-1.274962461,-1.331859571,-1.497167716,-1.196963094,-1.141063969,-1.188749492,-1.312743207,0,0,1
15,-0.324411516,-0.158939209,0.552187333,-0.408938029,-0.573210539,-0.510737948,-0.162564412,0,0,1
8,-1.534203628,-1.586842259,-0.950673037,-1.345103576,-1.398205146,-1.299445255,-1.312743207,0,1,0
7,-1.750237933,-1.739831872,-1.223920376,-1.430490104,-1.486597425,-1.244097373,-1.417304916,0,1,0
12,-0.281204655,-0.056946134,-0.130931017,-0.076650697,-0.433925735,-0.2847341,0.081412908,1,0,0
7,-1.2317556,-1.382856109,-1.223920376,-1.266918322,-1.18927794,-1.483938192,-1.312743207,0,1,0
8,-1.102135016,-1.076876884,-1.087296706,-1.077627706,-1.055350244,-1.073441406,-1.068765887,1,0,0
11,0.194070818,0.249033092,1.235305682,-0.356471608,-0.391068872,-0.59375977,0.011705102,1,0,0
15,0.237277679,0.045046941,1.098682012,0.193911433,-0.144641912,-0.529187242,0.813344869,0,0,1
13,0.237277679,0.249033092,1.098682012,0.080748565,-0.010714216,-0.330857334,0.70878316,0,0,1
11,0.582932568,0.708001929,0.825434672,0.433610964,0.645531494,0.356378857,0.70878316,0,0,1
9,0.237277679,0.249033092,0.142316323,-0.137347145,0.048213971,-0.317020364,-0.092856606,1,0,0
12,1.619897235,1.370956917,1.918424032,2.065213775,1.829452327,2.574906427,2.137793179,0,0,1
10,1.187828624,1.064977692,0.415563663,1.075553053,1.26427745,1.145086164,1.022468286,1,0,0
10,1.101414902,1.268963842,1.371929352,1.134191994,1.205349264,1.481785774,0.604221451,1,0,0
9,0.237277679,0.606008854,0.278939993,0.076633552,0.262498284,0.241070771,-0.127710509,1,0,0
10,0.928587457,1.217967304,0.825434672,0.83173851,1.146421077,1.025165754,0.395098034,1,0,0
9,0.323691401,0.402022704,-0.130931017,-0.102369531,-0.040178309,-0.183262984,-0.232272218,0,0,1
11,0.885380596,1.115974229,0.825434672,0.686684287,0.824994607,0.605444322,0.813344869,1,0,0
7,-1.534203628,-1.535845722,-1.087296706,-1.416087558,-1.534811396,-1.368630106,-1.34759711,0,1,0
7,-1.058928155,-1.229866496,-0.950673037,-1.215480655,-1.248206126,-1.257934344,-1.211666889,0,1,0
11,-0.10837721,-0.209935746,-0.267554687,-0.367787895,-0.337497794,-0.376980568,-0.267126121,1,0,0
9,-1.361376183,-1.484849184,-1.223920376,-1.277205855,-1.291062989,-1.221035756,-1.382451013,0,0,1
12,0.410105124,0.351026167,0.688811003,0.2144865,0.163391789,0.282581682,-0.058002703,1,0,0
6,-2.571168295,-2.504779934,-2.043662396,-1.678419661,-1.767845587,-1.617695571,-1.730990042,0,1,0
6,-2.743995739,-2.708766084,-2.453533406,-1.713397275,-1.791952572,-1.673043452,-1.765843945,0,1,0
6,-2.441547711,-2.402786859,-2.043662396,-1.674304648,-1.77052414,-1.599246277,-1.730990042,0,1,0
5,-3.13285749,-3.116738385,-2.590157076,-1.777179983,-1.864273528,-1.751452951,-1.849493312,0,1,0
11,1.144621763,1.217967304,1.235305682,1.035431673,0.999100612,1.015941108,0.883052675,1,0,0
11,1.01500118,1.013981154,1.371929352,1.030287906,1.130349754,0.739201702,0.95276048,0,0,1
15,1.231035485,1.217967304,1.781800362,1.763789044,1.293741543,1.029778078,2.451478304,1,0,0
14,1.187828624,1.268963842,1.508553022,1.134191994,1.012493381,0.674629174,1.336153412,0,0,1
9,-0.065170349,0.096043479,-0.267554687,-0.213474893,-0.230355637,-0.201712278,-0.382144,1,0,0
7,-0.194790932,-0.260932284,-0.677425697,-0.496382064,-0.356247671,-0.487676331,-0.671431394,1,0,0
9,-0.929307572,-0.923887271,-0.677425697,-1.089972746,-1.098207107,-1.188749492,-1.176812986,0,1,0
9,-0.151584071,-0.260932284,-0.677425697,-0.535474691,-0.490175367,-0.478451684,-0.643548272,1,0,0
